latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.41344,23.23783,328.87,0.54,0.51,2019-02-14,1044,N,VIIRS,n,2,282.44,6.2,D,0
39.80038,21.52628,332.99,0.34,0.56,2019-02-14,1044,N,VIIRS,n,2,287.02,2.53,D,0
39.79919,21.52729,330.93,0.34,0.56,2019-02-14,1044,N,VIIRS,n,2,285.95,2.13,D,0
39.32677,20.56057,345.25,0.39,0.59,2019-02-14,1044,N,VIIRS,n,2,284.82,4.54,D,0
39.32698,20.56221,342.94,0.39,0.59,2019-02-14,1044,N,VIIRS,n,2,285.91,3.95,D,0
39.4807,21.7656,329.58,0.33,0.56,2019-02-14,1044,N,VIIRS,n,2,283.6,1.49,D,0
39.68726,22.59775,333.27,0.6,0.53,2019-02-14,1044,N,VIIRS,n,2,285.75,4.44,D,0
39.48005,21.95255,326.51,0.33,0.55,2019-02-14,1044,N,VIIRS,n,2,286.99,1.3,D,0
39.34658,21.96542,331.58,0.33,0.55,2019-02-14,1044,N,VIIRS,n,2,285.93,1.38,D,0
39.68401,22.58801,339.96,0.54,0.68,2019-02-14,1224,N,VIIRS,n,2,279.75,4.61,D,0
40.56684,22.6978,338.55,0.55,0.68,2019-02-14,1224,N,VIIRS,n,2,283.95,4.3,D,0
40.71531,22.39501,329.36,0.54,0.67,2019-02-14,1225,N,VIIRS,n,2,290.34,4.14,D,0
40.70884,22.66259,346.98,0.55,0.68,2019-02-14,1225,N,VIIRS,n,2,286.08,10.96,D,0
40.70898,22.66937,358,0.55,0.68,2019-02-14,1225,N,VIIRS,l,2,289.61,10.96,D,0
40.71547,22.40158,344.76,0.54,0.68,2019-02-14,1225,N,VIIRS,n,2,290.89,4.14,D,0
40.5672,22.69514,338.41,0.55,0.68,2019-02-14,1225,N,VIIRS,n,2,283.33,3.43,D,0
40.67606,22.62967,339.16,0.55,0.68,2019-02-14,1225,N,VIIRS,n,2,284.96,4.51,D,0
40.68637,22.51519,327.97,0.54,0.68,2019-02-14,1225,N,VIIRS,n,2,285.99,2.38,D,0
38.37338,24.06006,296.88,0.41,0.45,2019-02-15,0043,N,VIIRS,n,2,278.33,0.92,N,2
41.01147,23.39831,326.94,0.51,0.41,2019-02-15,0043,N,VIIRS,n,2,273.25,2.41,N,0
38.57228,21.40167,298.37,0.47,0.4,2019-02-15,0043,N,VIIRS,n,2,273.34,0.64,N,0
38.2646,21.78826,341.81,0.53,0.5,2019-02-15,1205,N,VIIRS,n,2,271.15,6.5,D,0
39.6531,20.93283,327.03,0.49,0.49,2019-02-15,1205,N,VIIRS,n,2,282.79,3.18,D,0
41.01817,23.66495,343.87,0.7,0.75,2019-02-16,1007,N,VIIRS,n,2,286.25,7.81,D,0
39.5708,20.39653,328.77,0.43,0.38,2019-02-16,1146,N,VIIRS,n,2,288.25,3.13,D,0
39.14955,20.82158,329.61,0.44,0.38,2019-02-16,1146,N,VIIRS,n,2,288.16,2.05,D,0
39.14602,20.82229,328.85,0.44,0.38,2019-02-16,1146,N,VIIRS,n,2,287.14,2.05,D,0
38.45839,21.30201,345.05,0.45,0.39,2019-02-16,1146,N,VIIRS,n,2,286.91,13.65,D,0
40.15815,22.53498,329.66,0.53,0.42,2019-02-16,1146,N,VIIRS,n,2,287.93,2.24,D,0
39.81013,19.84959,328.06,0.42,0.38,2019-02-16,1146,N,VIIRS,n,2,287.67,2.27,D,0
39.84637,20.56244,331.27,0.44,0.38,2019-02-16,1146,N,VIIRS,n,2,287.58,2.66,D,0
37.94238,21.47698,328.99,0.45,0.39,2019-02-16,1146,N,VIIRS,n,2,287.34,3.76,D,0
38.45483,21.30285,348.57,0.45,0.39,2019-02-16,1146,N,VIIRS,n,2,297.31,34.25,D,0
39.40936,20.7725,327.66,0.44,0.38,2019-02-16,1146,N,VIIRS,n,2,286.77,2.79,D,0
39.28668,20.53598,328.98,0.43,0.38,2019-02-16,1146,N,VIIRS,n,2,291.89,24.97,D,0
40.54868,22.63429,333.18,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,287.71,4.08,D,0
40.66021,22.7183,326.63,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,288.67,2.18,D,0
41.26667,23.26306,338.29,0.39,0.44,2019-02-16,1147,N,VIIRS,n,2,290.33,2.48,D,0
41.16235,23.24129,328.54,0.39,0.44,2019-02-16,1147,N,VIIRS,n,2,288.64,2.14,D,0
41.10509,23.02614,332.95,0.57,0.43,2019-02-16,1147,N,VIIRS,n,2,289.35,7.62,D,0
41.10781,23.02656,332.23,0.57,0.43,2019-02-16,1147,N,VIIRS,n,2,289.67,5.05,D,0
40.97284,23.66997,330.09,0.4,0.45,2019-02-16,1147,N,VIIRS,n,2,290.36,2.41,D,0
40.91055,23.13643,330.48,0.57,0.43,2019-02-16,1147,N,VIIRS,n,2,288.43,4.88,D,0
40.97244,23.89933,338.59,0.41,0.45,2019-02-16,1147,N,VIIRS,n,2,288.93,3.92,D,0
40.95885,23.84113,336.61,0.41,0.45,2019-02-16,1147,N,VIIRS,n,2,293.74,15.46,D,0
40.96193,23.84222,353.87,0.41,0.45,2019-02-16,1147,N,VIIRS,n,2,289.43,7.31,D,0
40.95777,23.84289,346.36,0.41,0.45,2019-02-16,1147,N,VIIRS,n,2,291.66,4.36,D,0
40.95177,23.82381,336.81,0.41,0.45,2019-02-16,1147,N,VIIRS,n,2,290.57,5.5,D,0
40.74944,22.24305,325.99,0.52,0.41,2019-02-16,1147,N,VIIRS,n,2,290.54,1.99,D,0
40.69085,22.70636,331.76,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,290.07,3.56,D,0
40.67912,22.70841,329.6,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,291.56,3.81,D,0
40.52404,21.3682,330.47,0.48,0.4,2019-02-16,1147,N,VIIRS,n,2,289.21,2.38,D,0
40.66348,22.6717,330.6,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,288.36,3.72,D,0
40.63825,22.80938,332.77,0.55,0.43,2019-02-16,1147,N,VIIRS,n,2,289.66,5.02,D,0
40.49208,21.60315,335.32,0.49,0.4,2019-02-16,1147,N,VIIRS,n,2,287.01,5.85,D,0
40.61718,22.76001,338.64,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,288.95,6.46,D,0
40.59812,22.69096,335.69,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,289.61,6.07,D,0
40.59422,22.69164,333.94,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,289.1,6.07,D,0
40.47006,21.64294,331.3,0.49,0.4,2019-02-16,1147,N,VIIRS,n,2,286.75,2.26,D,0
40.56234,22.72999,329.65,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,289.55,3.07,D,0
40.19999,21.44897,331.41,0.48,0.4,2019-02-16,1147,N,VIIRS,n,2,291.32,4.11,D,0
40.63684,22.64364,330.62,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,288.32,2.45,D,0
40.63358,22.65075,336.76,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,288.92,4.83,D,0
40.63482,22.70299,341.36,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,288.42,6.98,D,0
40.64117,22.80768,339.27,0.55,0.43,2019-02-16,1147,N,VIIRS,n,2,291.53,9.1,D,0
40.60665,22.36077,331.54,0.52,0.42,2019-02-16,1147,N,VIIRS,n,2,290.84,2.03,D,0
40.637,22.64493,332.36,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,288.55,4.15,D,0
40.63528,22.70419,334.28,0.54,0.42,2019-02-16,1147,N,VIIRS,n,2,288.43,5.04,D,0
40.64218,22.80871,336.56,0.55,0.43,2019-02-16,1147,N,VIIRS,n,2,291.07,5.02,D,0
40.69859,22.88033,295.9,0.48,0.4,2019-02-17,0005,N,VIIRS,n,2,273.71,0.84,N,0
35.06529,26.20188,329.8,0.43,0.38,2019-02-17,1126,N,VIIRS,n,2,286.58,7.33,D,0
37.78316,22.21834,326.52,0.38,0.36,2019-02-17,1127,N,VIIRS,n,2,298.5,22.18,D,0
37.78645,22.21753,343.58,0.38,0.36,2019-02-17,1127,N,VIIRS,n,2,288.02,22.18,D,0
38.62339,21.15292,327.32,0.39,0.36,2019-02-17,1127,N,VIIRS,n,2,291.28,1.64,D,0
38.84778,21.23616,332,0.39,0.36,2019-02-17,1127,N,VIIRS,n,2,289.05,3.03,D,0
38.92729,21.23836,331.07,0.39,0.36,2019-02-17,1127,N,VIIRS,n,2,287.85,3.86,D,0
39.50072,21.79717,329.12,0.38,0.36,2019-02-17,1127,N,VIIRS,n,2,291.02,1.63,D,0
40.57883,22.73315,334.96,0.39,0.36,2019-02-17,1128,N,VIIRS,n,2,290.93,2.73,D,0
41.25063,23.3273,326.34,0.4,0.37,2019-02-17,1128,N,VIIRS,n,2,287.71,1.52,D,0
41.61756,26.32504,336.92,0.5,0.41,2019-02-17,1128,N,VIIRS,n,2,289.21,9.4,D,0
