time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2015-06-02,25.6,16.8,0.0,8.6,92
2015-06-02,25.2,17.9,0.0,16.1,83
2015-06-02,24.3,15.5,0.0,19.7,89
2015-06-02,24.8,15.4,0.0,18.9,82
2015-06-02,25.6,15.3,0.0,14.3,86
2015-06-02,23.0,14.4,0.0,8.4,83
2015-06-02,26.1,18.7,0.0,20.3,73
2015-06-02,28.2,16.4,0.0,9.2,77
2015-06-03,25.1,18.3,0.0,19.4,82
2015-06-03,25.1,18.2,0.0,19.4,82
2015-06-03,26.9,18.9,0.0,23.5,75
2015-06-03,25.5,17.1,0.0,19.9,79
2015-06-03,26.9,15.2,0.0,8.9,83
2015-06-03,26.6,19.6,0.0,22.7,67
2015-06-03,25.1,18.2,0.0,19.4,82
2015-06-03,26.4,19.4,0.0,22.7,67
2015-06-03,25.5,17.0,0.0,19.9,79
2015-06-03,26.5,17.5,0.0,11.2,88
2015-06-03,27.0,19.0,0.0,23.5,75
2015-06-03,25.5,17.1,0.0,19.9,79
2015-06-05,22.6,20.8,0.0,35.3,79
2015-06-05,24.3,17.8,0.0,21.5,77
2015-06-05,23.7,17.1,0.0,21.5,77
2015-06-06,25.5,18.4,0.3,26.8,88
2015-06-06,25.5,18.4,0.3,26.8,88
2015-06-07,26.4,21.4,0.0,16.3,74
2015-06-07,23.0,19.0,3.5,26.2,84
2015-06-07,23.3,19.3,0.1,22.7,84
2015-06-08,24.6,18.4,0.0,18.5,87
2015-06-08,23.4,17.3,0.3,17.3,90
2015-06-08,24.5,18.1,0.0,18.5,89
2015-06-08,24.5,18.1,0.0,18.5,89
2015-06-08,24.5,18.1,0.0,18.5,89
2015-06-09,25.9,16.2,0.0,12.1,88
2015-06-09,25.2,15.0,0.0,6.1,89
2015-06-09,25.5,15.5,0.0,6.1,87
2015-06-09,26.1,16.6,0.0,11.8,86
2015-06-09,25.9,16.2,0.0,12.1,88
2015-06-09,27.5,14.9,0.0,5.4,95
2015-06-09,25.5,15.3,0.0,6.1,89
2015-06-09,26.2,16.9,0.0,9.3,89
2015-06-09,25.9,16.2,0.0,12.1,88
2015-06-10,29.1,17.8,0.5,7.6,89
2015-06-10,29.1,17.8,0.5,7.6,89
